Date,Spread,Z_Score,Volatility,Extreme_Z,Distance_From_Mean,Spread_Normalized,Range_Position,Recent_Extreme,MR_Strength,Vol_Expansion,Speed_To_Mean,Target_Return,Target_Direction,Pair_ID,Sector
2023-06-01,1.7083641764295052,1.3949515631230074,1.8651806173883008,0,1.3949508152325338,0.9159237687650078,0.9500328872952986,0,-1.3949508152325338,1.3296015850605922,10.88907014671938,1.9025665782282815,1,AIG-CB,financials
2023-06-02,1.8692433654408518,1.3607149918988133,1.8164967117273882,0,1.3607142428117194,1.0290370053168443,0.9712063589175874,0,-1.3607142428117194,1.2195253342019747,6.072091098757322,1.423137519070572,1,AIG-CB,financials
2023-06-05,1.2267672054159604,0.9211625560358202,1.855724470828079,0,0.9211620596463648,0.6610714918239179,0.8359223097318588,0,-0.9211620596463648,1.1735912867325635,4.333399969736975,1.3463865989343446,1,AIG-CB,financials
2023-06-06,2.749399143445551,1.5307956425468474,1.975899570377235,1,1.5307948678137129,1.3914663443417303,0.9999998179336596,0,-1.5307948678137129,1.1770140406555079,3.6224730410857773,0.013806513684563981,1,AIG-CB,financials
2023-06-07,3.2500301456925413,1.5774716131587827,2.053052768291521,1,1.5774708448050077,1.5830224204975896,0.9999998331424048,0,-1.5774708448050077,1.1654501430177817,5.669417540346677,-1.2704833578409023,0,AIG-CB,financials
2023-06-08,3.413746225199347,1.486079878078649,2.084377168982179,0,1.4860791651178724,1.637776808450412,0.9999998375792952,0,-1.4860791651178724,1.1352368430462376,8.015772230252875,-1.6478069702829359,0,AIG-CB,financials
2023-06-09,3.7663919091205784,1.494909580910157,2.0905615034693947,0,1.4949088658348706,1.8016165041083725,0.9999998463782804,0,-1.4949088658348706,1.101491524251663,6.715433986451723,-0.9302058775178779,0,AIG-CB,financials
2023-06-12,3.301201762583844,1.1724816661401951,2.010944042744333,0,1.172481083090116,1.641617096645615,0.9284812376114127,0,-1.172481083090116,1.0383109023028543,6.233877898679256,0.5437513129146083,1,AIG-CB,financials
2023-06-13,3.3382044066739667,1.1083045385651038,1.8911335544016319,0,1.1083039525123897,1.7651860883744457,0.9341700460294851,0,-1.1083039525123897,0.9713642589871071,17.164933478786395,1.780180209700852,1,AIG-CB,financials
2023-06-14,3.3888267747463203,1.0831863852320605,1.698903761454949,0,1.0831857476528333,1.9947126240579345,0.9309235348860048,0,-1.0831857476528333,0.8783366775881529,23.141392416691293,1.3370242928058147,1,AIG-CB,financials
2023-06-15,3.6109307546577867,1.1193880770950404,1.626725488218064,0,1.1193873889719383,2.21975284770413,0.9715578938055633,0,-1.1193873889719383,0.8515180306366127,20.99707181080364,0.5317247354355672,1,AIG-CB,financials
2023-06-16,3.2923808845114237,0.8512573964016708,1.505399743431847,0,0.8512568309327084,2.1870461396251315,0.9132785700290791,1,-0.8512568309327084,0.8010542254571059,18.420070762665734,1.2974134142718796,1,AIG-CB,financials
2023-06-20,2.573153804350305,0.2836823206898712,1.228916049266015,0,0.28368208985059623,2.0938384782660076,0.7398121080627813,1,-0.28368208985059623,0.6764952186854043,19.336820231301107,2.107453948462492,1,AIG-CB,financials
2023-06-21,2.763205657130115,0.35881661273024157,1.0019871139161929,0,0.35881625462558175,2.7577229896773328,0.6582958251143325,1,-0.35881625462558175,0.582821348008208,8.386813199684335,1.5278965009198515,1,AIG-CB,financials
2023-06-22,1.979546787851639,-0.46701166653604553,0.976311788081578,0,0.46701118819378445,2.0275743716738384,0.3913670869477292,1,0.46701118819378445,0.6058302312768323,1.2329009676592646,3.0581602014294944,1,AIG-CB,financials
2023-06-23,1.765939254916411,-0.7820841137074928,0.9159189000165071,0,0.7820832598292075,1.9280498817468474,0.3023341874874839,1,0.7820832598292075,0.6127854577864469,0.2638888291533778,4.058244783001761,1,AIG-CB,financials
2023-06-26,2.8361860316027006,0.30644157511048276,0.8388675250984015,0,0.3064412098070223,3.380966083177347,0.6337228449999694,0,-0.3064412098070223,0.612530339017484,1.1165022681960572,2.5710066834138914,1,AIG-CB,financials
2023-06-27,3.844953075498452,1.3679567206033931,0.8358520924540452,0,1.367955084003932,4.600034515885751,0.9999996180562924,1,-1.367955084003932,0.6676121050892533,1.440140081116902,1.9463506679836726,1,AIG-CB,financials
2023-06-28,5.118384616374819,2.3137364294473164,0.9773028020267174,1,2.313734061978342,5.237250285694573,0.999999743037499,1,-2.313734061978342,0.8420526966844267,1.4169310406663922,0.9736500765423273,1,AIG-CB,financials
2023-06-29,4.725851067552135,1.7093741865856755,0.9943497032018805,1,1.709372467499863,4.752700483174151,0.8991333405872219,1,-1.709372467499863,0.9121100983225829,0.43454137828616,0.6279889992287693,1,AIG-CB,financials
2023-06-30,4.142655490093354,1.0220739999410486,0.9733204953925325,0,1.0220729498522498,4.256204665882422,0.7492739464039451,1,-1.0220729498522498,0.949744400083908,-0.5773123285089702,1.7113875320386143,1,AIG-CB,financials
2023-07-03,4.589794298783303,1.3389524620519695,0.9753272584240472,0,1.3389510892295884,4.705896972778759,0.8641718530000285,1,-1.3389510892295884,1.0036127047604517,-0.04123039079351711,1.1720849651424103,1,AIG-CB,financials
2023-07-05,4.680607752812797,1.3686647740293736,0.8943302142783564,0,1.3686632436514194,5.233640152647048,0.8694154010650372,1,-1.3686632436514194,0.9530801837921244,2.427765779128106,0.7946201356208604,1,AIG-CB,financials
2023-07-06,4.291102158049966,0.8447921577412882,0.8966081280454294,0,0.8447912155334395,4.785922899763903,0.7532299195489706,1,-0.8447912155334395,0.9663601061269482,1.683699163901022,0.6231417745365277,1,AIG-CB,financials
