Date,Equity_LSTM,Equity_Hybrid,Positions_LSTM,Positions_Hybrid
2025-04-04,1363.995464271217,1314.197371709681,3,3
2025-04-07,1363.995464271217,1314.197371709681,3,3
2025-04-07,1363.995464271217,1314.197371709681,3,3
2025-04-07,1363.995464271217,1314.197371709681,3,3
2025-04-07,1361.7906697506692,1311.992577189133,4,4
2025-04-07,1361.7906697506692,1311.992577189133,4,4
2025-04-08,1359.5858752301212,1309.7877826685851,5,5
2025-04-08,1359.5858752301212,1309.7877826685851,5,5
2025-04-08,1359.5858752301212,1309.7877826685851,5,5
2025-04-08,1359.5858752301212,1309.7877826685851,5,5
2025-04-08,1359.5858752301212,1309.7877826685851,5,5
2025-04-09,1359.5858752301212,1309.7877826685851,5,5
2025-04-09,1359.5858752301212,1309.7877826685851,5,5
2025-04-09,1359.5858752301212,1309.7877826685851,5,5
2025-04-09,1359.5858752301212,1309.7877826685851,5,5
2025-04-09,1359.5858752301212,1309.7877826685851,5,5
2025-04-10,1384.4392263428265,1334.6411337812904,5,5
2025-04-10,1384.4392263428265,1334.6411337812904,5,5
2025-04-10,1384.4392263428265,1334.6411337812904,5,5
2025-04-10,1384.4392263428265,1334.6411337812904,5,5
2025-04-10,1384.4392263428265,1334.6411337812904,5,5
2025-04-11,1413.5365139048777,1363.7384213433415,4,4
2025-04-11,1413.5365139048777,1363.7384213433415,4,4
2025-04-11,1411.3317193843297,1361.5336268227936,5,5
2025-04-11,1411.3317193843297,1361.5336268227936,5,5
2025-04-11,1411.3317193843297,1361.5336268227936,5,5
2025-04-14,1411.3317193843297,1361.5336268227936,5,5
2025-04-14,1411.3317193843297,1361.5336268227936,5,5
2025-04-14,1411.3317193843297,1361.5336268227936,5,5
2025-04-14,1411.3317193843297,1361.5336268227936,5,5
2025-04-14,1411.3317193843297,1361.5336268227936,5,5
2025-04-15,1436.1181171877272,1386.320024626191,5,5
2025-04-15,1436.1181171877272,1386.320024626191,5,5
2025-04-15,1436.1181171877272,1386.320024626191,5,5
2025-04-15,1436.1181171877272,1386.320024626191,5,5
2025-04-15,1436.1181171877272,1386.320024626191,5,5
2025-04-16,1436.1181171877272,1386.320024626191,5,5
2025-04-16,1436.1181171877272,1386.320024626191,5,5
2025-04-16,1436.1181171877272,1386.320024626191,5,5
2025-04-16,1436.1181171877272,1386.320024626191,5,5
2025-04-16,1436.1181171877272,1386.320024626191,5,5
2025-04-17,1436.1181171877272,1386.320024626191,5,5
2025-04-17,1436.1181171877272,1386.320024626191,5,5
2025-04-17,1436.1181171877272,1386.320024626191,5,5
2025-04-17,1436.1181171877272,1386.320024626191,5,5
2025-04-17,1436.1181171877272,1386.320024626191,5,5
2025-04-21,1450.1524405572425,1400.3543479957063,4,4
2025-04-21,1450.1524405572425,1400.3543479957063,4,4
2025-04-21,1450.1524405572425,1400.3543479957063,4,4
2025-04-21,1450.1524405572425,1400.3543479957063,4,4
2025-04-21,1450.1524405572425,1400.3543479957063,4,4
2025-04-22,1472.5281217081313,1422.7300291465951,3,3
2025-04-22,1472.5281217081313,1422.7300291465951,3,3
2025-04-22,1472.5281217081313,1422.7300291465951,3,3
2025-04-22,1472.5281217081313,1422.7300291465951,3,3
2025-04-22,1472.5281217081313,1422.7300291465951,3,3
2025-04-23,1472.5281217081313,1422.7300291465951,3,3
2025-04-23,1472.5281217081313,1422.7300291465951,3,3
2025-04-23,1472.5281217081313,1422.7300291465951,3,3
