Date,AMT,ARE,BXP,CBRE,CCI,CSGP,DLR,DOC,EQR,EXR,HST,INVH,IRM,KIM,O,PLD,REG,SPG,UDR,VICI,VTR,WELL,WY
2023-08-01,175.52664184570312,107.08702087402344,56.43424606323242,83.01000213623047,94.17891693115234,83.12000274658203,113.93171691894531,18.490644454956055,59.36381530761719,124.20258331298828,15.974981307983398,32.1473503112793,56.829811096191406,17.863908767700195,53.00642013549805,114.58275604248047,59.396915435791016,110.08812713623047,36.72987365722656,27.512758255004883,44.778648376464844,80.06430053710938,31.54605484008789
2023-08-02,174.95755004882812,107.2273941040039,58.46626663208008,83.43000030517578,93.0914077758789,82.18000030517578,113.90400695800781,18.42244529724121,59.43605041503906,123.56151580810547,15.766499519348145,32.22007751464844,56.70103073120117,17.89047622680664,52.64885330200195,114.12140655517578,59.351741790771484,108.87702178955078,36.702667236328125,27.243194580078125,44.695674896240234,79.08952331542969,30.830997467041016
2023-08-03,170.4877471923828,107.36776733398438,58.51858901977539,83.61000061035156,91.29048919677734,80.91999816894531,111.5864028930664,18.345720291137695,59.09291458129883,125.90904235839844,14.602471351623535,31.96552085876465,55.00846481323242,17.784198760986328,51.314544677734375,114.24136352539062,59.613765716552734,103.88339233398438,36.50314712524414,27.025806427001953,44.45597839355469,79.29772186279297,30.74741554260254
2023-08-04,169.58827209472656,105.93773651123047,59.76571273803711,83.91999816894531,90.31607055664062,81.41000366210938,110.7646255493164,18.354368209838867,59.05678939819336,113.49420166015625,14.411359786987305,31.601865768432617,56.038719177246094,17.71334457397461,51.645931243896484,112.79268646240234,59.85771179199219,103.81317138671875,36.303627014160156,27.00841522216797,41.422794342041016,77.96331787109375,30.53382682800293
2023-08-07,168.44097900390625,108.98206329345703,60.82967758178711,84.94000244140625,90.35086059570312,81.55000305175781,111.62333679199219,18.579145431518555,59.71598434448242,118.36986541748047,14.585097312927246,31.995746612548828,56.50786590576172,17.828479766845703,52.42211151123047,114.81344604492188,60.21007537841797,105.01551055908203,36.63011169433594,27.199716567993164,42.031272888183594,80.24413299560547,30.775272369384766
2023-08-08,169.44142150878906,107.46427154541016,59.84420394897461,85.05000305175781,90.51616668701172,81.87999725341797,109.97978973388672,18.2073917388916,59.21030807495117,116.248046875,14.559037208557129,32.014060974121094,55.90074157714844,17.695629119873047,51.45407485961914,113.88150787353516,59.16200637817383,104.43627166748047,35.995277404785156,27.077980041503906,41.93907928466797,80.71732330322266,30.988862991333008
2023-08-09,171.72683715820312,107.4116439819336,58.492427825927734,84.08000183105469,91.02947235107422,81.25,110.16445922851562,18.29384994506836,59.246421813964844,117.48500061035156,14.628531455993652,31.702619552612305,56.038719177246094,18.049896240234375,51.89884948730469,113.12487030029297,59.360774993896484,104.26075744628906,35.74134063720703,27.27798080444336,41.03557586669922,80.88765716552734,31.0167236328125
2023-08-10,171.57997131347656,106.7624282836914,58.68429183959961,84.30000305175781,91.08167266845703,80.7300033569336,111.5033187866211,18.10364532470703,59.201271057128906,117.26834106445312,14.472168922424316,31.62018394470215,56.11231231689453,18.032182693481445,51.27094268798828,112.71887969970703,58.71025085449219,104.30464172363281,35.77761459350586,26.921459197998047,40.159732818603516,80.39554595947266,30.775272369384766
2023-08-11,171.73599243164062,107.13966369628906,59.40815734863281,84.52999877929688,90.83807373046875,80.83999633789062,111.10626220703125,18.069067001342773,59.97786331176758,118.28858947753906,14.150758743286133,31.785064697265625,55.624778747558594,18.04103660583496,51.12267303466797,113.96453857421875,58.610862731933594,104.32219696044922,35.995277404785156,26.860591888427734,39.46828079223633,79.74253845214844,30.66383934020996
2023-08-14,171.77267456054688,105.10426330566406,58.15230941772461,84.6500015258789,89.71577453613281,81.30999755859375,112.1681137084961,17.852928161621094,58.54207229614258,117.5301513671875,14.055203437805176,31.565223693847656,55.38561248779297,17.89933204650879,50.529640197753906,113.93687438964844,58.01453399658203,104.45382690429688,35.3967170715332,26.643199920654297,39.45906066894531,80.3431167602539,30.765989303588867
