Date,ALB,AMCR,BALL,CF,CTVA,DD,DOW,FCX,IFF,IP,LIN,LYB,MOS,NEM,NUE,PPG,SHW,STLD
2022-01-25,195.74520874023438,9.988896369934082,81.80094146728516,65.5984878540039,44.08565902709961,29.668495178222656,45.52664566040039,37.45390319824219,119.88130187988281,39.891727447509766,296.9461364746094,69.20064544677734,36.705142974853516,56.0557861328125,88.69014739990234,141.55166625976562,283.68096923828125,50.89004135131836
2022-01-26,195.37466430664062,9.963478088378906,81.9618911743164,62.23870086669922,44.047367095947266,29.633737564086914,45.558502197265625,36.319793701171875,119.16575622558594,39.53242492675781,292.5334777832031,69.06698608398438,36.19672393798828,54.638675689697266,87.60730743408203,141.09205627441406,282.2252502441406,49.94971466064453
2022-01-27,195.19412231445312,9.997368812561035,88.9869384765625,62.7711296081543,44.84196853637695,29.537199020385742,47.915245056152344,35.062828063964844,118.02983093261719,38.7636604309082,294.82501220703125,71.16061401367188,35.851741790771484,53.726409912109375,91.09125518798828,141.00015258789062,272.9897155761719,51.09690475463867
2022-01-28,195.95428466796875,10.115981101989746,88.52301788330078,65.26800537109375,45.43551254272461,29.375015258789062,47.80377197265625,34.06103515625,116.91178131103516,39.423797607421875,298.22454833984375,71.33138275146484,36.105934143066406,53.017845153808594,93.96317291259766,142.32383728027344,277.3568115234375,51.64228439331055
2022-01-31,209.74131774902344,10.175287246704102,91.93138122558594,63.220924377441406,46.029075622558594,29.57967758178711,47.55695343017578,35.17623519897461,117.9940414428711,40.317893981933594,301.7659912109375,71.81395721435547,36.26936340332031,54.178104400634766,95.4791488647461,143.5832061767578,276.2095947265625,52.206478118896484
2022-02-01,213.97906494140625,10.336262702941895,91.42959594726562,68.3524169921875,45.88546371459961,30.07781982421875,49.21305465698242,36.87739562988281,119.94391632080078,40.1507682800293,304.35107421875,73.89270782470703,39.573997497558594,54.319820404052734,101.185302734375,144.64027404785156,282.5530090332031,54.171749114990234
2022-02-02,210.4539337158203,10.276955604553223,89.4319076538086,68.44420623779297,46.076934814453125,30.56437873840332,49.0936279296875,37.227088928222656,119.31779479980469,39.86666488647461,305.1843566894531,74.49406433105469,40.100555419921875,55.01066589355469,105.4413833618164,144.88848876953125,283.7388000488281,55.638641357421875
2022-02-03,204.3443145751953,9.963478088378906,88.16324615478516,67.56295013427734,46.459869384765625,30.012174606323242,48.735328674316406,36.10242462158203,115.37335205078125,39.74132537841797,295.2511291503906,74.24906921386719,38.98387908935547,54.7360954284668,105.69560241699219,144.07955932617188,277.4821472167969,55.35655212402344
2022-02-04,205.25650024414062,9.79403305053711,88.69343566894531,68.90320587158203,48.106510162353516,29.371152877807617,48.24965286254883,36.31034469604492,113.68286895751953,39.0979118347168,282.1646423339844,74.40498352050781,39.79188537597656,53.96554183959961,104.763427734375,140.63250732421875,271.60150146484375,55.4223747253418
2022-02-07,208.8291015625,9.734725952148438,87.49104309082031,66.51647186279297,47.436363220214844,29.104700088500977,47.70026779174805,36.76399230957031,114.46102142333984,38.98927307128906,280.7347717285156,73.85559844970703,40.36383819580078,56.12663650512695,104.63160705566406,140.48536682128906,269.1817321777344,54.848777770996094
2022-02-08,215.39483642578125,9.844867706298828,88.47567749023438,67.22332000732422,48.22138214111328,30.942811965942383,48.63978958129883,38.39899444580078,115.31073760986328,39.39037322998047,282.8559265136719,75.2068099975586,40.79054260253906,56.294925689697266,108.82176208496094,141.79067993164062,269.6155090332031,56.983299255371094
2022-02-09,224.64952087402344,9.980422019958496,89.04373168945312,67.04888153076172,49.34148025512695,31.46799087524414,49.356361389160156,41.1681022644043,118.6022720336914,39.40708541870117,288.0071716308594,76.16450500488281,40.64529037475586,55.931793212890625,113.06841278076172,144.30934143066406,276.3157043457031,58.81692123413086
2022-02-10,224.2789306640625,9.844867706298828,87.73719787597656,67.70982360839844,48.776649475097656,31.02004623413086,48.528316497802734,41.49888610839844,122.00111389160156,38.9474983215332,292.45770263671875,75.79329681396484,41.6893310546875,53.61126708984375,114.49024200439453,141.38619995117188,269.8661193847656,57.67913818359375
2022-02-11,219.3855743408203,9.819449424743652,87.5194320678711,70.44537353515625,48.87237548828125,30.614578247070312,48.63978958129883,40.449832916259766,119.71134948730469,38.90571594238281,279.0871887207031,75.55571746826172,42.55181121826172,56.56063461303711,111.49591827392578,137.79205322265625,263.28167724609375,57.086734771728516
2022-02-14,216.33547973632812,9.802504539489746,87.36795806884766,65.85594177246094,48.72877502441406,30.63003158569336,48.432777404785156,40.119056701660156,117.7167739868164,38.629966735839844,277.931884765625,74.35299682617188,40.509098052978516,56.994625091552734,110.49783325195312,137.21295166015625,260.7559509277344,57.93302536010742
2022-02-15,229.36236572265625,10.005841255187988,86.95137786865234,66.55634307861328,48.719207763671875,31.537500381469727,49.252864837646484,41.272064208984375,120.98145294189453,39.047767639160156,285.8766174316406,75.6076889038086,41.38065719604492,56.04692077636719,114.48082733154297,139.39151000976562,261.80670166015625,59.973514556884766
2022-02-16,233.74269104003906,9.971952438354492,87.1407470703125,68.58380126953125,49.2648811340332,31.711267471313477,49.42802429199219,41.82021713256836,122.96711730957031,38.91407012939453,287.7041320800781,76.58026885986328,42.025245666503906,56.93262481689453,115.49776458740234,139.60292053222656,262.82861328125,60.45307922363281
2022-02-17,187.2032012939453,9.988896369934082,86.08033752441406,70.21500396728516,49.08298873901367,30.78835105895996,48.70348358154297,40.83731460571289,121.3750228881836,38.925045013427734,283.10211181640625,74.94694519042969,41.78012466430664,60.0059928894043,113.8781967163086,137.54505920410156,257.61309814453125,59.46574020385742
